Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating
Kate,(I) (2021),"Action,Adventure,Crime",A jaded assassin assigned to target a yakuza clan has 24 hours to find out who poisoned her and get vengeance before she dies.,"https://m.media-amazon.com/images/M/MV5BN2IyYzI4YmQtNzBmMi00Mjg3LWI4NTMtNmZjNjk3YjIwZmJhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",7737528,https://www.imdb.com/title/tt7737528/,106 min,18,"63,339",6.2
It,(1990),"Drama,Horror,Mystery","In 1960, seven pre-teen outcasts fight an evil demon who poses as a child-killing clown. Thirty years later, they reunite to stop the demon once and for all when it returns to their hometown.","https://m.media-amazon.com/images/M/MV5BYjg1YTRkNzQtODgyYi00MTQ5LThiMDYtNDJjMWRjNTdjZDZlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",0099864,https://www.imdb.com/title/tt0099864/,192 min,UA,"131,212",6.8
Professionals,(2020– ),"Action,Adventure","After their advanced medical satellite explodes on deployment, billionaire futurist Peter Swann, and his fiancée, medical visionary Dr. Graciela ""Grace"" Davila, turn to a hardened former counterintelligence officer.","https://m.media-amazon.com/images/M/MV5BZTZjYjYzZmYtNDg0ZC00Nzg4LWJkNjktMjZjM2Q3NWY3NWQwXkEyXkFqcGdeQXVyMTkyNDExMDg@._V1_UY98_CR1,0,67,98_AL_.jpg",8769360,https://www.imdb.com/title/tt8769360/,48 min,NA,"1,751",5.5
My Life Is Murder,(2019– ),"Comedy,Crime,Drama","My Life is Murder follows the adventures of fearless private investigator Alexa Crowe, who solves the most baffling crimes as well as coping with the frustrations of everyday life.","https://m.media-amazon.com/images/M/MV5BZDA3YjZlN2EtNmVmOS00YWQ1LWEyZTItOWM5NDY0YzQ5MWIyXkEyXkFqcGdeQXVyNjc3MjQzNTI@._V1_UY98_CR3,0,67,98_AL_.jpg",10584446,https://www.imdb.com/title/tt10584446/,60 min,NA,"3,980",7.5
Little Fires Everywhere,(2020),Drama,"Based on Celeste Ng's 2017 bestseller, ""Little Fires Everywhere"" follows the intertwined fates of the picture-perfect Richardson family and the enigmatic mother and daughter who upend their lives.","https://m.media-amazon.com/images/M/MV5BZjNiMTQzMDYtNzk2ZC00ODc4LTk4OWQtZDBkMTllYWZlYzI1XkEyXkFqcGdeQXVyNDk3ODk4OQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",8089592,https://www.imdb.com/title/tt8089592/,463 min,18,"47,499",7.7
Hanna,(2019–2021),"Action,Drama","In equal parts high-concept thriller and coming-of-age drama, HANNA follows the journey of an extraordinary young girl raised in the forest, as she evades the relentless pursuit of an off-book CIA agent and tries to unearth the truth behind who she is.","https://m.media-amazon.com/images/M/MV5BMDhjNzJmN2YtNDY0OS00MGZhLWJlNWMtY2M2Yzg0MWJkMTZhXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_UX67_CR0,0,67,98_AL_.jpg",6932244,https://www.imdb.com/title/tt6932244/,60 min,16,"39,500",7.6
Rosaline,(2022),"Comedy,Romance","A comedic retelling of Shakespeare's ""Romeo and Juliet,"" told from the point of view of Romeo's jilted ex, Rosaline, the woman Romeo first claims to love before he falls for Juliet.","https://m.media-amazon.com/images/M/MV5BYTg4NDc0OGUtZDBmYy00NzY0LWJiMWUtYjUxNzliMzEzMjNmXkEyXkFqcGdeQXVyMTQzNTA5MzYz._V1_UX67_CR0,0,67,98_AL_.jpg",1777606,https://www.imdb.com/title/tt1777606/,95 min,PG-13,"6,961",6.4
Sneaky Pete,(2015–2019),"Crime,Thriller","A con man on the run from a vicious gangster takes cover by assuming the identity of his prison cellmate Pete, and reuniting with Pete's estranged family, which threatens to drag him into a world just as dangerous as the one he's escaping.","https://m.media-amazon.com/images/M/MV5BMTc2OTExNDE3MF5BMl5BanBnXkFtZTgwMzk2MjU5NzM@._V1_UX67_CR0,0,67,98_AL_.jpg",5011816,https://www.imdb.com/title/tt5011816/,60 min,18,"37,534",8.1
Fool's Gold,(I) (2008),"Action,Adventure,Comedy",A new clue to the whereabouts of a lost treasure rekindles a married couple's sense of adventure -- and their estranged romance.,"https://m.media-amazon.com/images/M/MV5BMTU3MTYxMDU5Ml5BMl5BanBnXkFtZTYwNTgwNzc4._V1_UX67_CR0,0,67,98_AL_.jpg",0770752,https://www.imdb.com/title/tt0770752/,112 min,PG-13,"81,039",5.7
How I Caught My Killer,(2023),"Documentary,Crime","The real-life stories behind unique homicide cases with in-depth interviews, authentic archival material and cinematic recreations all packaged together into a fresh spin in the genre.","https://m.media-amazon.com/images/M/MV5BOThmMWNhMmQtMzkyYi00ZWIzLTlmYTUtODk5YTY4ODdiN2RkXkEyXkFqcGdeQXVyMjAwNzczNTU@._V1_UX67_CR0,0,67,98_AL_.jpg",25050236,https://www.imdb.com/title/tt25050236/,-,NA,146,5.6
